task_id,profession,letter_type,classification_method,is_canonical,task_title,pdf_filename,source_path,file_bytes,asset_role,ai_confidence,review_flag,pending_review,import_status,source_id,case_note_text,notes
W-0011,medicine,non_medical_referral,canonical-folder-map,yes,Writing 2 ( Referral to non medical profession as occupational therapist - manager of human supportive scheme - psychologist - radiographer ),Mr Arthur Miller - Answer Sheet.pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 2 ( Referral to non medical profession as occupational therapist - manager of human supportive scheme - psychologist - radiographer )/Mr Arthur Miller - Answer Sheet.pdf,90940,ModelAnswer,,,no,prepared-filesystem,13b6f61e0c4f,,
W-0012,medicine,urgent_referral,canonical-folder-map,yes,Writing 3 ( Urgent Referral ),Leo Bennett - Urgent Referral.pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 3 ( Urgent Referral )/Leo Bennett - Urgent Referral.pdf,214469,CaseNotes-candidate,,,no,prepared-filesystem,3bf0db5b8c28,,
W-0013,medicine,urgent_referral,canonical-folder-map,yes,Writing 3 ( Urgent Referral ),Leo Bennett ( Urgent Referral ) - Answer Sheet.pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 3 ( Urgent Referral )/Leo Bennett ( Urgent Referral ) - Answer Sheet.pdf,117086,ModelAnswer,,,no,prepared-filesystem,9ac482b5227e,,
W-0014,medicine,update_discharge,canonical-folder-map,yes,Writing 4 ( Update & Discharge to GP ),Mr Liam Sterling - Case Notes ( Update & Discharge Letter ).pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 4 ( Update & Discharge to GP )/Mr Liam Sterling - Case Notes ( Update & Discharge Letter ).pdf,136195,CaseNotes,,,no,prepared-filesystem,aa65b950d28c,,
W-0015,medicine,update_discharge,canonical-folder-map,yes,Writing 4 ( Update & Discharge to GP ),Mr Sterling - Answer Sheet ( Update & Discharge letter ).pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 4 ( Update & Discharge to GP )/Mr Sterling - Answer Sheet ( Update & Discharge letter ).pdf,156417,ModelAnswer,,,no,prepared-filesystem,4ea9c22475fc,,
W-0016,medicine,update_referral_specialist_to_gp,canonical-folder-map,yes,Writing 5 ( Update & Referral - From Specialist to GP or Dentist ),Mr Adam Wilson - Answer Sheet ( Update & Referral from ENT to Dentist ).pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 5 ( Update & Referral - From Specialist to GP or Dentist )/Mr Adam Wilson - Answer Sheet ( Update & Referral from ENT to Dentist ).pdf,98747,ModelAnswer,,,no,prepared-filesystem,5499baccae04,,
W-0017,medicine,update_referral_specialist_to_gp,canonical-folder-map,yes,Writing 5 ( Update & Referral - From Specialist to GP or Dentist ),Mr Adam Wilson - Case Notes ( Update & Referral from ENT to Dentist ).pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing 5 ( Update & Referral - From Specialist to GP or Dentist )/Mr Adam Wilson - Case Notes ( Update & Referral from ENT to Dentist ).pdf,144611,CaseNotes,,,no,prepared-filesystem,cc55b7ecfd10,,
W-0018,all,Other,fallback-other,no,Writing RuleBook ( Medicine only ),Additional Hint - Writing Rulebook ( IMPORTANT NOTE = THIS HINT IS THE SAME FOR ALL PROFESSIONS ).pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing RuleBook ( Medicine only )/Additional Hint - Writing Rulebook ( IMPORTANT NOTE = THIS HINT IS THE SAME FOR ALL PROFESSIONS ).pdf,3949702,Reference,,needs_review,yes,prepared-filesystem,1f66956289f6,,unclassified by deterministic rules; requires admin review before publish
W-0019,medicine,Other,fallback-other,no,Writing RuleBook ( Medicine only ),OET_Writing_Rulebook_FINAL ( For Medicine Only ).pdf,OET with Dr. Ahmed Hesham ( Medicine Only )/Writing_/Writing RuleBook ( Medicine only )/OET_Writing_Rulebook_FINAL ( For Medicine Only ).pdf,34709,Reference,,needs_review,yes,prepared-filesystem,5ab85b72cc6c,,unclassified by deterministic rules; requires admin review before publish
W-0020,dentistry,Other,fallback-other,no,Dentistry,Grammar Rules 1.pdf,OET/Materials ( To be Uploaded )/Writing/Dentistry/Grammar Rules 1.pdf,1481315,Reference,,needs_review,yes,prepared-filesystem,4991c656a440,,unclassified by deterministic rules; requires admin review before publish
W-0021,dentistry,Other,fallback-other,no,Dentistry,Grammar Rules 2.pdf,OET/Materials ( To be Uploaded )/Writing/Dentistry/Grammar Rules 2.pdf,151539,Reference,,needs_review,yes,prepared-filesystem,82d1af3af745,,unclassified by deterministic rules; requires admin review before publish
W-0022,dentistry,Other,fallback-other,no,Dentistry,OET Writing Dentistry Samples 1 to 5.pdf,OET/Materials ( To be Uploaded )/Writing/Dentistry/OET Writing Dentistry Samples 1 to 5.pdf,2814147,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,b51b280e1e5a,,unclassified by deterministic rules; requires admin review before publish
W-0023,dentistry,Other,fallback-other,no,Dentistry,Writing Criteria.pdf,OET/Materials ( To be Uploaded )/Writing/Dentistry/Writing Criteria.pdf,131395,Reference,,needs_review,yes,prepared-filesystem,6c41a96bad37,,unclassified by deterministic rules; requires admin review before publish
W-0024,dentistry,Other,fallback-other,no,Dentistry,Writing-Booklet-Sample.pdf,OET/Materials ( To be Uploaded )/Writing/Dentistry/Writing-Booklet-Sample.pdf,181860,Reference,,needs_review,yes,prepared-filesystem,8b2c2b0cbf37,,unclassified by deterministic rules; requires admin review before publish
W-0025,medicine,Other,fallback-other,no,Medicine,50 Medical Writing Task Answers.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/50 Medical Writing Task Answers.pdf,1286856,CaseNotes-candidate,,needs_review,yes,prepared-filesystem,1b75d6faede0,,unclassified by deterministic rules; requires admin review before publish
W-0026,medicine,routine_referral,convention-parser-regex,yes,1- Routine Referral ( Mr James Greenbaum ),Mr James Greenbaum.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/1- Routine Referral ( Mr James Greenbaum )/Mr James Greenbaum.pdf,68026,CaseNotes-candidate,,,no,prepared-filesystem,ef0fcdcd6c7a,,
W-0027,medicine,update_referral_specialist_to_gp,convention-parser-regex,yes,2- Update & Referral ( From ENT to Family Dentist ) - Mr Adam Wilson,Mr Adam Wilson - Case Notes.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/2- Update & Referral ( From ENT to Family Dentist ) - Mr Adam Wilson/Mr Adam Wilson - Case Notes.pdf,144611,CaseNotes,,,no,prepared-filesystem,5a46afba7e5a,,
W-0028,medicine,update_referral_specialist_to_gp,convention-parser-regex,yes,2- Update & Referral ( From ENT to Family Dentist ) - Mr Adam Wilson,Mr Adam Wilson.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/2- Update & Referral ( From ENT to Family Dentist ) - Mr Adam Wilson/Mr Adam Wilson.pdf,98747,CaseNotes-candidate,,,no,prepared-filesystem,d8445fa67aaa,,
W-0029,medicine,non_medical_referral,convention-parser-regex,yes,3- Referral to non medical profession ( Psychologist )- Mr David Thompson,Mr David Thompson - Case notes.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/3- Referral to non medical profession ( Psychologist )- Mr David Thompson/Mr David Thompson - Case notes.pdf,235140,CaseNotes,,,no,prepared-filesystem,041ff459ec88,,
W-0030,medicine,non_medical_referral,convention-parser-regex,yes,3- Referral to non medical profession ( Psychologist )- Mr David Thompson,Mr David Thompson.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/3- Referral to non medical profession ( Psychologist )- Mr David Thompson/Mr David Thompson.pdf,97242,CaseNotes-candidate,,,no,prepared-filesystem,f185141df135,,
W-0031,medicine,urgent_referral,convention-parser-regex,yes,4- Urgent Referral ( Mrs Karen Smith ),Mrs Karen Smith ( Urgent Referral ) - Case notes.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/4- Urgent Referral ( Mrs Karen Smith )/Mrs Karen Smith ( Urgent Referral ) - Case notes.pdf,417313,CaseNotes,,,no,prepared-filesystem,40cd154bb6d3,,
W-0032,medicine,urgent_referral,convention-parser-regex,yes,4- Urgent Referral ( Mrs Karen Smith ),Mrs Karen Smith.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/4- Urgent Referral ( Mrs Karen Smith )/Mrs Karen Smith.pdf,98888,CaseNotes-candidate,,,no,prepared-filesystem,4b8b4b53e6f5,,
W-0033,medicine,update_discharge,importer-hint-map,yes,5- Discharge letter ( Mr John Aloisius ),Mr John Aloisius TB ( Discharge letter ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/5- Discharge letter ( Mr John Aloisius )/Mr John Aloisius TB ( Discharge letter ).pdf,92600,CaseNotes-candidate,,,no,prepared-filesystem,6645ae9ba338,,
W-0034,medicine,update_discharge,importer-hint-map,yes,5- Discharge letter ( Mr John Aloisius ),Mr John Aloisius.pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/5- Discharge letter ( Mr John Aloisius )/Mr John Aloisius.pdf,101604,CaseNotes-candidate,,,no,prepared-filesystem,264e8a0e4671,,
W-0035,medicine,routine_referral,convention-parser-regex,yes,6- June 2026 Recall ( Routine Referral - Nasal Polypectomy ),13 June 2026 Case Notes - Mr Brian Hughes - Nasal Polypectomy ( Routine Referral ).pdf,OET/Materials ( To be Uploaded )/Writing/Medicine/Case Notes - 2026 Recalls/6- June 2026 Recall ( Routine Referral - Nasal Polypectomy )/13 June 2026 Case Notes - Mr Brian Hughes - Nasal Polypectomy ( Routine Referral ).pdf,480848,CaseNotes,,,no,prepared-filesystem,631a20140daf,,
